county,year,race,sex,total
Polk,2000,aian,male,21
Randolph,2000,aian,male,323
Richmond,2000,aian,male,383
Robeson,2000,aian,male,22884
Rockingham,2000,aian,male,133
Rowan,2000,aian,male,245
Rutherford,2000,aian,male,86
Sampson,2000,aian,male,542
Scotland,2000,aian,male,1535
Stanly,2000,aian,male,77
Stokes,2000,aian,male,56
Surry,2000,aian,male,98
Swain,2000,aian,male,1841
Transylvania,2000,aian,male,44
Tyrrell,2000,aian,male,5
Union,2000,aian,male,271
Vance,2000,aian,male,44
Wake,2000,aian,male,1303
Warren,2000,aian,male,463
Washington,2000,aian,male,5
Watauga,2000,aian,male,59
Wayne,2000,aian,male,248
Wilkes,2000,aian,male,57
Wilson,2000,aian,male,117
Yadkin,2000,aian,male,35
Yancey,2000,aian,male,28
Alamance,2000,asian,male,643
Alexander,2000,asian,male,182
Alleghany,2000,asian,male,15
Anson,2000,asian,male,77
Ashe,2000,asian,male,21
Avery,2000,asian,male,25
Beaufort,2000,asian,male,57
Bertie,2000,asian,male,15
Bladen,2000,asian,male,26
Brunswick,2000,asian,male,112
Buncombe,2000,asian,male,706
Burke,2000,asian,male,1879
Cabarrus,2000,asian,male,651
Caldwell,2000,asian,male,178
Camden,2000,asian,male,19
Carteret,2000,asian,male,146
Caswell,2000,asian,male,24
Catawba,2000,asian,male,2240
Chatham,2000,asian,male,165
Cherokee,2000,asian,male,31
Chowan,2000,asian,male,20
Clay,2000,asian,male,8
Cleveland,2000,asian,male,340
Columbus,2000,asian,male,63
Craven,2000,asian,male,387
Cumberland,2000,asian,male,2776
Currituck,2000,asian,male,31
Dare,2000,asian,male,51
Davidson,2000,asian,male,688
Davie,2000,asian,male,50
Duplin,2000,asian,male,64
Durham,2000,asian,male,4001
Edgecombe,2000,asian,male,52
Forsyth,2000,asian,male,1712
Franklin,2000,asian,male,71
Gaston,2000,asian,male,976
Gates,2000,asian,male,12
Graham,2000,asian,male,6
Granville,2000,asian,male,121
Greene,2000,asian,male,11
Guilford,2000,asian,male,5687
Halifax,2000,asian,male,170
Harnett,2000,asian,male,261
Haywood,2000,asian,male,51
Henderson,2000,asian,male,258
Hertford,2000,asian,male,50
Hoke,2000,asian,male,140
Hyde,2000,asian,male,10
Iredell,2000,asian,male,836
Jackson,2000,asian,male,99
Johnston,2000,asian,male,210
Jones,2000,asian,male,5
Lee,2000,asian,male,163
Lenoir,2000,asian,male,124
Lincoln,2000,asian,male,106
